id_penerbit;nama_penerbit;tempat_penerbit
PE280;Pustaka Al-Kautsar;Informasi tidak tersedia
PE280;Pustaka Al-Kautsar;Informasi tidak tersedia
PE281;Pustaka Alvabet;Informasi tidak tersedia
PE281;Pustaka Alvabet;Informasi tidak tersedia
PE282;Pustaka Hudaya;Informasi tidak tersedia
PE283;Random House;Informasi tidak tersedia
PE284;Routledge;Informasi tidak tersedia
PE285;Sada Kurnia Pustaka;Informasi tidak tersedia
PE285;Sada Kurnia Pustaka;Informasi tidak tersedia
PE285;Sada Kurnia Pustaka;Informasi tidak tersedia
PE285;Sada Kurnia Pustaka;Informasi tidak tersedia
PE286;Samudra Biru;Informasi tidak tersedia
PE287;Sanata Dharma University Press;Informasi tidak tersedia
PE287;Sanata Dharma University Press;Informasi tidak tersedia
PE287;Sanata Dharma University Press;Informasi tidak tersedia
PE288;SCOPINDO MEDIA PUSTAKA;Informasi tidak tersedia
PE288;SCOPINDO MEDIA PUSTAKA;Informasi tidak tersedia
PE288;SCOPINDO MEDIA PUSTAKA;Informasi tidak tersedia
PE289;Serambi Ilmu Semesta;Informasi tidak tersedia
PE289;Serambi Ilmu Semesta;Informasi tidak tersedia
PE290;Sinar Grafika;Informasi tidak tersedia
PE290;Sinar Grafika;Informasi tidak tersedia
PE291;SPASI MEDIA;Informasi tidak tersedia
PE291;SPASI MEDIA;Informasi tidak tersedia
PE292;Spectrum;Informasi tidak tersedia
PE293;Springer;Informasi tidak tersedia
PE293;Springer;Informasi tidak tersedia
PE294;Springer Science & Business Media;Informasi tidak tersedia
PE294;Springer Science & Business Media;Informasi tidak tersedia
PE294;Springer Science & Business Media;Informasi tidak tersedia
PE294;Springer Science & Business Media;Informasi tidak tersedia
PE294;Stefano Calicchio;Informasi tidak tersedia
PE294;Stefano Calicchio;Informasi tidak tersedia
PE295;Stiletto Book;Informasi tidak tersedia
PE296;Syiah Kuala University Press;Informasi tidak tersedia
PE296;Syiah Kuala University Press;Informasi tidak tersedia
